Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Personality
1,0,1,1,1,0,1,0,1,1,Delta
1,1,1,1,0,0,0,0,0,1,Alpha
1,0,0,0,0,0,1,1,0,0,Alpha
0,1,0,0,0,0,0,0,0,1,Delta
1,1,0,0,0,0,0,1,1,1,Sigma
1,1,1,0,1,0,0,0,1,1,Beta
1,1,1,0,1,0,0,0,0,1,Beta
0,1,1,0,1,0,0,0,1,0,Beta
1,0,1,0,1,1,1,0,0,1,Delta
0,0,0,1,0,0,1,0,0,0,Alpha
1,1,1,0,0,0,1,0,0,1,Delta
0,1,0,0,1,0,1,0,0,1,Delta
0,0,1,1,1,0,1,1,0,0,Gamma
0,0,0,1,1,0,1,1,1,0,Alpha
0,0,0,0,0,1,1,1,0,0,Gamma
1,1,1,1,1,1,1,0,1,0,Omega
1,0,0,0,0,0,0,1,1,0,Alpha
0,0,1,0,0,0,1,1,0,1,Alpha
1,1,0,1,0,0,1,1,1,0,Alpha
1,1,1,1,1,0,1,0,0,1,Beta
1,0,1,0,0,0,0,0,0,1,Beta
1,1,1,1,1,0,0,1,0,1,Gamma
1,1,1,0,1,0,1,1,0,1,Gamma
1,0,0,0,0,0,1,1,1,0,Alpha
1,1,0,1,1,0,1,1,0,1,Gamma
0,1,0,0,1,1,1,0,0,1,Beta
0,1,1,0,1,0,0,0,1,1,Delta
0,0,0,0,0,0,1,0,0,1,Delta
0,0,1,1,0,1,1,0,0,0,Delta
1,1,1,1,1,0,1,1,0,0,Gamma
0,1,1,0,1,1,0,0,0,1,Omega
0,1,0,1,1,0,1,0,1,1,Beta
0,1,0,0,1,1,1,1,0,0,Omega
1,0,0,1,1,0,1,1,0,0,Gamma
1,0,1,0,1,1,1,0,0,1,Sigma
0,0,0,0,0,1,1,0,0,1,Alpha
0,1,1,0,1,1,1,0,1,1,Beta
0,0,1,0,0,0,0,0,0,1,Delta
0,1,0,0,1,0,1,1,1,1,Omega
1,1,0,0,1,0,0,0,0,1,Sigma
0,0,1,0,0,0,1,0,0,1,Sigma
1,0,1,0,1,0,1,0,0,1,Beta
0,1,1,1,0,0,1,0,0,0,Beta
0,1,0,0,0,0,0,0,1,1,Sigma
1,0,0,0,0,1,1,1,1,0,Alpha
1,0,0,1,0,1,1,0,1,1,Alpha
0,1,1,0,0,1,0,0,1,0,Omega
1,0,1,0,1,0,1,0,0,0,Alpha
0,1,0,0,1,1,1,0,1,1,Sigma
0,1,0,0,1,1,1,0,1,0,Sigma
1,0,1,0,1,0,0,1,0,1,Gamma
0,1,1,0,1,1,0,0,0,1,Sigma
0,1,0,1,0,1,1,1,0,0,Alpha
0,0,1,0,1,0,0,1,0,1,Delta
1,1,1,0,1,0,0,0,1,1,Omega
1,0,1,0,1,0,0,1,0,1,Gamma
0,1,1,1,0,0,1,0,1,1,Alpha
0,1,1,0,1,1,0,0,1,1,Omega
1,0,0,1,0,1,1,1,0,0,Alpha
1,0,1,0,0,0,1,1,0,1,Gamma
0,0,0,0,1,1,1,0,0,0,Sigma
0,1,0,0,0,1,1,0,1,1,Delta
0,0,1,1,1,0,1,1,1,1,Gamma
0,0,0,0,1,1,1,1,1,0,Sigma
1,0,0,1,0,0,1,1,0,1,Gamma
1,0,1,0,1,0,1,1,0,1,Beta
0,1,1,0,0,0,1,0,0,1,Delta
1,0,0,1,0,0,0,0,0,0,Alpha
0,0,1,0,0,0,1,1,1,0,Alpha
0,1,1,0,0,0,1,0,0,1,Delta
0,0,1,0,1,0,0,0,0,0,Beta
1,1,0,0,0,0,1,0,0,0,Sigma
1,1,0,1,0,0,1,1,0,0,Alpha
1,1,1,0,1,1,0,0,0,0,Beta
1,0,0,1,1,0,1,1,0,0,Alpha
0,1,1,0,1,1,0,1,1,1,Omega
0,1,0,0,1,1,1,0,0,1,Sigma
0,1,1,0,1,1,0,0,0,1,Omega
0,1,0,0,0,0,1,0,0,1,Delta
0,0,0,0,1,1,1,1,1,1,Sigma
0,1,1,0,1,0,0,0,0,1,Beta
1,1,0,0,0,1,1,1,0,1,Sigma
1,0,0,1,0,0,1,0,1,0,Sigma
0,1,1,0,1,0,1,0,0,1,Beta
1,0,1,1,0,0,1,0,1,1,Delta
1,1,0,1,1,1,1,1,1,1,Sigma
0,1,1,0,0,0,1,0,1,1,Delta
0,0,1,0,0,1,1,0,0,1,Delta
0,1,1,0,0,0,1,0,0,1,Delta
1,1,0,1,0,0,1,0,1,1,Alpha
1,0,1,1,1,0,1,1,1,1,Gamma
1,1,1,0,0,0,1,0,0,0,Delta
0,1,1,1,1,1,1,0,0,1,Beta
1,0,1,1,0,0,1,1,0,1,Gamma
0,1,0,0,0,1,1,0,0,1,Delta
1,0,1,0,1,1,0,0,0,1,Beta
0,1,1,1,1,0,1,0,0,1,Beta
0,1,1,1,0,1,0,0,0,1,Omega
0,0,0,0,0,1,0,0,1,0,Omega
0,0,0,0,0,1,1,0,0,1,Sigma
